pid,stim,stimd,compat,compatd,rt,c,cs
2,arrow,-0.5,compat,-0.5,516,-96.87355312524949,-0.4953147280735501
2,arrow,-0.5,incomp,0.5,516,-96.87355312524949,-0.4953147280735501
2,gaze,0.5,compat,-0.5,500,-112.87355312524949,-0.5771227695204286
2,arrow,-0.5,compat,-0.5,958,345.1264468747505,1.7646324168964698
2,gaze,0.5,compat,-0.5,443,-169.8735531252495,-0.8685639171749334
2,arrow,-0.5,incomp,0.5,673,60.12644687475051,0.3074266786239457
2,arrow,-0.5,compat,-0.5,507,-105.87355312524949,-0.5413317513874193
2,gaze,0.5,compat,-0.5,620,7.126446874750513,0.036437541331160506
2,arrow,-0.5,compat,-0.5,424,-188.8735531252495,-0.9657109663931017
2,arrow,-0.5,compat,-0.5,596,-16.873553125249487,-0.08627452083915732
2,gaze,0.5,compat,-0.5,921,308.1264468747505,1.5754513210505632
2,gaze,0.5,compat,-0.5,609,-3.8735531252494866,-0.019805487163568496
2,gaze,0.5,incomp,0.5,558,-54.87355312524949,-0.28056861927549387
2,arrow,-0.5,incomp,0.5,421,-191.8735531252495,-0.9810499741643914
2,arrow,-0.5,incomp,0.5,625,12.126446874750513,0.06200255428331005
2,gaze,0.5,compat,-0.5,533,-79.87355312524949,-0.4083936840362416
2,arrow,-0.5,compat,-0.5,772,159.1264468747505,0.8136139350765067
2,gaze,0.5,incomp,0.5,410,-202.8735531252495,-1.0372930026591205
2,gaze,0.5,incomp,0.5,726,113.12644687475051,0.5784158159167309
2,gaze,0.5,incomp,0.5,518,-94.87355312524949,-0.4850887228926902
2,arrow,-0.5,incomp,0.5,438,-174.8735531252495,-0.8941289301270829
2,gaze,0.5,incomp,0.5,713,100.12644687475051,0.5119467822411421
2,gaze,0.5,incomp,0.5,411,-201.8735531252495,-1.0321800000686905
2,arrow,-0.5,incomp,0.5,678,65.12644687475051,0.33299169157609526
2,gaze,0.5,incomp,0.5,1152,539.1264468747505,2.756554919439872
2,arrow,-0.5,compat,-0.5,651,38.12644687475051,0.1949406216344877
2,arrow,-0.5,incomp,0.5,630,17.126446874750513,0.0875675672354596
2,arrow,-0.5,compat,-0.5,531,-81.87355312524949,-0.4186196892171014
2,gaze,0.5,incomp,0.5,699,86.12644687475051,0.4403647459751233
2,gaze,0.5,incomp,0.5,643,30.126446874750513,0.15403660091104843
2,gaze,0.5,incomp,0.5,493,-119.87355312524949,-0.612913787653438
2,arrow,-0.5,compat,-0.5,582,-30.873553125249487,-0.15785655710517604
2,arrow,-0.5,incomp,0.5,1444,831.1264468747505,4.249551675845406
2,gaze,0.5,compat,-0.5,584,-28.873553125249487,-0.14763055192431623
2,arrow,-0.5,compat,-0.5,550,-62.87355312524949,-0.32147263999893316
2,gaze,0.5,incomp,0.5,628,15.126446874750513,0.07734156205459979
2,gaze,0.5,compat,-0.5,535,-77.87355312524949,-0.3981676788553818
2,gaze,0.5,incomp,0.5,494,-118.87355312524949,-0.607800785063008
2,arrow,-0.5,incomp,0.5,591,-21.873553125249487,-0.11183953379130686
2,arrow,-0.5,incomp,0.5,388,-224.8735531252495,-1.1497790596485784
