pid,stim,gaze,target,compat,isi,rt,acc
PO2,stim6,right,left,incomp,800,0.593,1
PO2,stim3,left,left,compat,800,0.541,1
PO2,stim2,left,right,incomp,400,0.748,1
PO2,stim4,right,left,incomp,800,0.5,1
PO2,stim1,left,left,compat,400,0.653,1
PO2,stim7,left,right,incomp,400,0.613,1
PO2,arrow,right,right,compat,400,0.714,1
PO2,stim6,left,left,compat,400,0.594,1
PO2,stim8,left,left,compat,800,0.496,1
PO2,arrow,left,right,incomp,400,0.681,1
PO2,arrow,right,right,compat,800,0.596,1
PO2,arrow,right,right,compat,400,0.552,1
PO2,arrow,left,right,incomp,400,0.542,1
PO2,stim3,left,right,incomp,400,0.654,1
PO2,arrow,left,right,incomp,800,0.6,1
PO2,arrow,left,right,incomp,400,0.748,1
PO2,arrow,right,left,incomp,800,0.612,1
PO2,arrow,left,right,incomp,800,0.449,1
PO2,stim5,right,left,incomp,400,0.491,1
PO2,stim2,left,left,compat,800,0.533,1
PO2,stim8,right,left,incomp,800,0.677,1
PO2,arrow,left,left,compat,400,0.653,0
PO2,stim8,right,right,compat,800,0.553,1
PO2,stim1,right,left,incomp,400,0.519,1
PO2,stim4,left,right,incomp,400,0.575,1
PO2,arrow,right,left,incomp,400,0.573,0
PO2,arrow,right,right,compat,800,0.675,1
PO2,stim8,left,right,incomp,800,0.517,1
PO2,stim6,right,right,compat,400,1.117,1
PO2,arrow,right,right,compat,800,0.613,1
PO2,stim5,left,left,compat,800,0.546,1
PO2,arrow,left,right,incomp,800,0.553,1
PO2,arrow,right,right,compat,800,0.841,1
PO2,stim7,right,left,incomp,800,0.548,1
PO2,stim4,left,left,compat,400,0.619,1
PO2,arrow,left,right,incomp,800,0.479,1
PO2,arrow,right,right,compat,400,0.514,1
PO2,stim8,left,left,compat,400,0.527,1
PO2,stim7,right,right,compat,800,0.464,1
PO2,arrow,right,left,incomp,400,0.531,1
PO2,stim2,right,right,compat,800,0.603,1
PO2,stim5,left,right,incomp,400,0.558,1
PO2,arrow,left,right,incomp,800,0.614,1
PO2,stim7,right,left,incomp,400,0.769,1
PO2,arrow,right,right,compat,800,0.592,1
PO2,arrow,left,left,compat,800,0.494,1
